value   name    r   g   b   256-radix2  256-radix16
0       black   0   0   0   00000000    00
1       navy    0   0   128 00000010    02
2       green   0   128 0   00010000    10
3       teal    0   128 128 00010010    12
4       maroon  128 0   0   10000000    80
5       purple  128 0   128 10000010    82
6       olive   128 128 0   10010000    90
7       silver  192 192 192 11011011    DB
8       gray    128 128 128 10010010    92
9       blue    0   0   255 00000011    03
A       lime    0   255 0   00011100    1C
B       cyan    0   255 255 00011111    1F
C       red     255 0   0   11100000    E0
D       megenta 255 0   255 11100011    E3
E       yellow  255 255 0   11111100    FC
F       white   255 255 255 11111111    FF
